ID y
TxvtoFQ 0.9828799143742112
samQDkE 0.8235865383256457
4KQzT8i 0.5892829624888456
Tqzza0T 0.42358265214903806
WJkMWZo -0.002875876459373046
6EazdXs 1.0898351861523485
2dTx3cU 0.7612478473215899
s9o93CI 0.7981842889428462
AWRfVe5 1.5830510073113364
Cp4qgOG 0.8432720740828825
pfffmYG -0.18136319788258978
lSlJmIG -0.1746169627432847
fNIVzi5 1.137416439141686
MQ4tS70 -0.5691241236175467
c4Qw2y8 -0.4064433189567483
3CqkT5o -0.22505106372941117
vbIiyDu 0.678818111473518
JDNHxe7 0.2959087171430266
ftrKZMo 0.4643542899549614
t46EEdb 0.13253153672442308
KhrqP2Z 0.7114084892090772
vQSlcmT 0.8685791572965263
LhzJ4GN 0.7792568060686038
YLWcRPL 0.14969742741910202
P9OA8uN 0.7032926669350209
XY3C6aw 0.6353580613788807
NHYcquS 1.243032509198323
cFQKIMZ -0.08019001551072566
vrzVO9U 1.1545243511007943
mtj59CS 0.6979704769243557
PxQMLPZ 0.8528798983363857
UbTcMYb 0.2547497536359489
uxVcEsZ 0.7117035830436166
0jXTz89 -0.6492801018448706
fkRkysi 0.905565403857922
NiNf5vF 0.17824464362040754
FQ1MeB4 1.2689103716259214
aGtNx8c 0.36062663585740895
7Mjvxvq 0.05410019224181725
LOoh451 0.1330609652066172
2JydAYW 0.0416827688138095
dgoCgRS 0.7300314623586661
QHOa5Zz 0.14668074426260988
tQGXWeh -0.07777859566143666
UnbOCuf 0.8900923401530332
NeZwh6b -0.2156578578232819
w7v3gA9 0.5006943097149869
zVJf0tF 0.9590476929542897
QRtGq7w 0.9511718722875177
YdGZX0c 0.949642638958359
p1PI9zP 0.178543842953762
XLz1lA3 0.6120321882787612
wYVA4Ku 1.4752331646015362
DEOL9sk 1.0595460757934656
eUOXwqS -0.17487238247209416
JDBs6kZ 0.7418287032785128
mwPAXRQ 0.9043209180660617
poSr1Cd 0.2072574321600336
QuG4UkR 0.8645287281729491
IU3yCYG 0.6654731463041905
TBp4L7f 1.0101552561846778
nbEeVkf -0.3220196857193772
GcYhc9C 0.6324126745764986
F0D6tCC -0.25776053493626716
QEDAiz3 -0.08524805090550669
AL06hFi -0.11681044298714893
X3M5hvx 0.18375221187409477
Lj7CvZV 0.12835463701825933
UyxCQmG -0.05400123516110894
gzRcxq7 0.1317588407884911
8WTCJG3 0.7288144000715243
6hisRua 0.257033448713634
nQM4R9X 0.045539411102520744
ymt7FB6 1.0317072086021515
XdfAkEo 1.1026036340035839
pbiySUG -0.03572865184341863
NFp5vak 0.22355487498289867
4o5fvXL -0.2728648851104558
oClm2Ry 0.2406937026470857
sgzTTTs -0.09972012946513562
NFXGLmW 0.5268184245481413
mEuTT2C 0.1747234369295642
jvEwGGh -0.30387814194590407
O4eTcRJ 0.7497858670236883
NllTBiU -0.5145678267387999
pumimLB -0.5861935830093266
ompN5bS 0.9778966876782589
jitKJOh 0.47637269017010075
ecMWA4q -0.11189926223774961
VxApg8X -0.5329950799845458
iVwsQPs 1.062213171571564
5ICLvEy 1.1995666096306568
bR3cLv0 0.10542372249002896
iyfz8hw 1.0605652364962248
LXP7NNl 0.26204107307013946
TBSFfpi 0.9359829584884433
sXor7dQ 0.22059516889049785
3kqUOGK 0.6006239981441801
twTVDqx 0.6369484954280464
LSurD1l -0.3926537026882406
